Feature	Gain	Cover	Frequency
ctrx_quarter	0.0895703192050657	0.00455256572025385	0.00842373927654945
ctrx_quarter_normalizado	0.047024777869196	0.00264903794279141	0.00465893959987931
mpayroll_sobre_edad	0.0167194478489549	0.00246124073698794	0.00145747575718149
mprestamos_personales	0.0166749052321172	0.00765804579040808	0.0013675081178493
mcuentas_saldo	0.0164961851973034	0.00563241351346306	0.00662300237237744
mpasivos_margen	0.0117111702615124	0.00545321826784891	0.00902583040131104
cpayroll_trx	0.0114061994564281	0.00169153966366081	0.00111421461019098
mcaja_ahorro	0.0105470822758981	0.00274985353379565	0.00699671410498808
mcuenta_corriente	0.00952274592067968	0.00362290620668686	0.00407622612051234
mtarjeta_visa_consumo	0.00838634595804395	0.00120553409208114	0.00221458804510009
ctrx_quarter_normalizado_lag1	0.00818946882904947	0.00151188253198292	0.00261459801074629
mcomisiones_mantenimiento_tend6	0.00744674417310354	0.00399295101489299	0.00439734138705186
cdescubierto_preacordado	0.00729247709479737	0.00238526145669461	0.000382016437779765
ccomisiones_mantenimiento_tend6	0.00680601403842425	0.00486436415512324	0.00221043569251552
mcomisiones_avg12	0.00609612432924792	0.00240738632031682	0.00362638792385139
ctrx_quarter_lag1	0.00590852351394173	0.00268658237428369	0.00531777954329658
mcuenta_corriente_tend12	0.00587995257934873	0.00639217380847731	0.00548110541162271
numero_de_cliente	0.00561465416454024	0.00846018774738074	0.00905489686940297
mcomisiones_otras_avg12	0.00505226606896387	0.00258610117836622	0.00323191442831794
mpayroll	0.00485057124264401	0.00129179134705771	0.00147823752010431
ctrx_quarter_tend12	0.00474123900287336	0.00415203402143404	0.00505202897788457
mrentabilidad_annual_tend12	0.00455737479099226	0.00642806672042066	0.00703546939577733
ctrx_quarter_normalizado_avg6	0.00426414597952998	0.0026380315040793	0.00367206380228158
ccomisiones_otras_tend12	0.00425898421015195	0.00476379996303579	0.0055046354096019
Master_Fvencimiento_avg12	0.00425759126373731	0.00340349521250799	0.00458973372346993
azar	0.00409854116508711	0.00870453381380404	0.00965837211169275
mprestamos_personales_lag1	0.00394195696968562	0.00108006844315249	0.000546726423634084
mcuenta_corriente_avg12	0.00387788806316229	0.00516305127981092	0.00498835957158794
mcuenta_corriente_avg6	0.00385637245657105	0.00464324138122493	0.00424508845895123
chomebanking_transacciones_tend12	0.00375373542939235	0.00258872865209299	0.00406515318028684
mrentabilidad_annual_avg12	0.00374185261705307	0.00313201148317523	0.00489977604978394
mrentabilidad_annual_avg6	0.00351674857565889	0.00592215561843931	0.00401947730185666
cmobile_app_trx_avg12	0.00345102018427344	0.00238288935579857	0.00403885494725128
ctransferencias_recibidas_avg12	0.00339674739121576	0.003209836548778	0.00507002250575101
mactivos_margen_avg12	0.00334208400620497	0.00293307578745354	0.00376341555914196
thomebanking_avg12	0.00329045720267197	0.00415275759950315	0.00606381889098967
chomebanking_transacciones_avg12	0.00325048359756695	0.00346105247007854	0.00587973125974073
cliente_antiguedad	0.00320400261919481	0.00364901996786658	0.00434612903850892
mrentabilidad_annual_tend6	0.00316862080466689	0.00503941636743561	0.0056942595109636
mcuentas_saldo_tend12	0.00316682553432452	0.00293325181229758	0.0035142744040682
mcuenta_corriente_tend6	0.00315035523167113	0.00506665103293307	0.00470323136078131
mcaja_ahorro_avg12	0.00311289609260638	0.00333705143645101	0.00578561126782397
thomebanking_tend12	0.00310711677983896	0.00491386537707628	0.0045149913769478
mcomisiones_otras_avg6	0.00308034936232239	0.00193196152263397	0.00222704510285377
cpayroll_trx_avg6	0.00307119277768587	0.00108027332773224	0.00110037343490911
cliente_edad_lag1	0.0030599241564016	0.00478494118523677	0.00426723433940223
cliente_edad_avg6	0.00305289837036187	0.004804628476102	0.00488870310955844
mrentabilidad_annual_delta1	0.00302151422265581	0.00524345072504427	0.00516414249766776
ctransferencias_recibidas_avg6	0.00300019631738623	0.00190973314181074	0.00382431673038221
mcuentas_saldo_tend6	0.00299274589304555	0.00364971885555231	0.00322084148809244
mactivos_margen_tend12	0.00297655179377843	0.00257288908712095	0.00414681611444991
mtransferencias_recibidas_avg12	0.00297107674697403	0.00409386992765986	0.00481672899809269
vm_status01	0.00296737624880452	0.00065055082056083	0.000139795870346943
mcaja_ahorro_avg6	0.00287774431804816	0.00300482030869364	0.00564166304489247
cliente_edad_tend12	0.00285017594976913	0.00532052328769609	0.00502573074484901
cliente_edad	0.00284862326780764	0.00521455952374586	0.00492330604776313
Visa_Fvencimiento_avg6	0.00282832441314377	0.00308545884022515	0.00393504613263722
mpasivos_margen_avg6	0.00281172577517519	0.00303280597878105	0.0058492806741206
mpasivos_margen_tend12	0.00279995781924567	0.00159920297180579	0.00318762266741594
cmobile_app_trx_tend12	0.00275285904858378	0.00206033457821124	0.00299938268358243
mactivos_margen_tend6	0.00275188034574918	0.00323908644466977	0.00403470259466672
cliente_edad_avg12	0.00272446135038405	0.00552880549873016	0.00496621369113694
ccomisiones_otras_avg12	0.0027047662790421	0.00338985380826412	0.00535653483408583
Visa_fechaalta	0.00270352035771623	0.00220445312774841	0.0032582126613535
ctarjeta_visa_transacciones_tend12	0.00267006496178812	0.00102372231729012	0.00205403041183033
vm_Fvencimiento_avg6	0.00265853386245173	0.00340024520236019	0.00356410263508295
ccomisiones_otras_avg6	0.00264942440588602	0.00251594394259058	0.00508801603361745
Master_Fvencimiento	0.00264529693191556	0.00238867459275265	0.00348520793597626
mcaja_ahorro_tend12	0.00259937827630236	0.00169671246184405	0.00341877029462326
mcomisiones_mantenimiento_tend12	0.00256885401877363	0.00434495822769117	0.00400148377399022
mpasivos_margen_avg12	0.00256598061383991	0.00311609198390133	0.00564581539747703
mrentabilidad_tend12	0.00256154471316593	0.00471224917867777	0.00451914372953236
mcuentas_saldo_avg12	0.0025439381112132	0.00325446249492482	0.00480980841045175
chomebanking_transacciones_avg6	0.00253190034750116	0.00221494569378482	0.00467139665763299
mactivos_margen_avg6	0.00252131641400594	0.00363193689355961	0.00332188206765013
chomebanking_transacciones_tend6	0.00251491621118347	0.00125863326966384	0.00309488679302737
ccomisiones_mantenimiento_avg12	0.00250985389843748	0.00442088988616325	0.00321115266539512
ctrx_quarter_avg12	0.00249946955635537	0.00438125217921257	0.00560013951904684
ctransferencias_recibidas_tend12	0.00248469945516766	0.00183061616329823	0.00341184970698232
mactivos_margen	0.00247473882878813	0.0034047348130751	0.00332049795012194
mrentabilidad_avg12	0.00245312899576729	0.00185036449608754	0.00248310684556847
Visa_Fvencimiento	0.00245259516648957	0.00234109615883506	0.00393089378005265
ccomisiones_mantenimiento_tend12	0.00245229538212952	0.0084029376538145	0.00379940261487483
mcomisiones_mantenimiento	0.00244654401269222	0.00181415666775037	0.00168447103180425
Master_fechaalta_avg6	0.00242254336044502	0.00155029542653807	0.00248725919815303
mtarjeta_visa_consumo_tend12	0.00242070465702324	0.00132362135543954	0.00193361218687801
mcomisiones_mantenimiento_avg12	0.00241740342556514	0.00476200062691724	0.00314886737662668
ctrx_quarter_tend6	0.00240917400442121	0.00167908463559561	0.00346859852563801
mrentabilidad_tend6	0.00238222055973973	0.00291032363174279	0.00403470259466672
ctrx_quarter_delta1	0.00237948357044181	0.00142620488212752	0.00274332094086773
mcomisiones_avg6	0.00237699737292812	0.00176630012500258	0.00254400801680872
mcuentas_saldo_lag1	0.00237302404889082	0.00358095261995058	0.00452468019964511
Master_Fvencimiento_avg6	0.00236640858428198	0.00187341827838151	0.00301183974133612
active_quarter_avg12	0.00235849620072427	0.00889074451589662	0.00733028642928128
cliente_antiguedad_avg12	0.00235741620295578	0.00230233101915345	0.00341877029462326
mpasivos_margen_lag1	0.00232507623653167	0.00250732784569098	0.00631572828111981
mcaja_ahorro_lag1	0.00231145939649233	0.00188981608054399	0.00501604192215169
Master_fultimo_cierre_avg12	0.00231123580451476	0.00305047673632935	0.0028139109348053
mactivos_margen_delta1	0.00228791759071396	0.00298792563699546	0.00340216088428501
vm_msaldopesos	0.00228266094928436	0.000930564067586036	0.00162080162550763
ctrx_quarter_normalizado_tend6	0.00225712671792072	0.00297490279525867	0.00352257910923732
vm_Fvencimiento	0.00225394392501885	0.00267587925595419	0.00299938268358243
mrentabilidad_delta1	0.00222603706460814	0.00234008509089299	0.00359316910317489
Master_Fvencimiento_lag1	0.0021809149312498	0.00206800840148235	0.00289280563391199
ccallcenter_transacciones_avg12	0.00217441085938861	0.00133557827619256	0.00237237744331347
vm_Fvencimiento_lag1	0.00216906827417656	0.00306582386170254	0.00312672149617568
mcuenta_corriente_lag1	0.00215195117262064	0.00307560275188165	0.00355718204744201
ctarjeta_debito_avg12	0.00213335440581635	0.00293303285615368	0.00268795623974023
mcuenta_corriente_delta1	0.00211987880139061	0.00405736281800016	0.00384646261083321
cproductos_tend6	0.0021142023416267	0.00215436552547665	0.00108791637715542
Master_mfinanciacion_limite_avg12	0.00210169534372392	0.00164587776375016	0.0023682250907289
mactivos_margen_lag1	0.00209465476658565	0.00338069139591592	0.00308935032291462
