fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 195941	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	463	1	1	1	0.1	50	0.5	FALSE	668111	0.106304521467464	0.534722751099616	1530	1958	0.000149376989055828	12511	18818000	1
20221029 201113	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	521	1	1	1	0.1	50	0.5	FALSE	668111	0.0597530772810569	0.417050322622526	3194	728	0.00525787929106476	13585	19310000	2
20221029 201631	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	354	1	1	1	0.1	50	0.5	FALSE	668111	0.25734575649818	0.813123250519857	4815	1470	0.000576925614165941	12752	16976000	3
20221029 202216	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	373	1	1	1	0.1	50	0.5	FALSE	668111	0.205883298935878	0.782978871650994	4130	1148	0.000524662072360182	14186	16988000	4
20221029 203344	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	668	1	1	1	0.1	50	0.5	FALSE	668111	0.23739225409081	0.488350641273428	6262	1008	0.000176112085955648	13701	16278000	5
20221029 204612	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	800	1	1	1	0.1	50	0.5	FALSE	668111	0.0812219687727338	0.345957450056449	7906	1306	0.00983235202857093	11595	20650000	6
20221029 205733	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1070	1	1	1	0.1	50	0.5	FALSE	668111	0.0756004137720447	0.703884858125821	5978	264	0.00139596867401228	14957	15926000	7
20221029 210446	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	450	1	1	1	0.1	50	0.5	FALSE	668111	0.168126216630044	0.267086170322727	1480	1623	1.1960649770769e-05	13109	16502000	8
20221029 211023	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	316	1	1	1	0.1	50	0.5	FALSE	668111	0.294017702472629	0.950822005409282	2047	1249	3.67684077031966e-06	14378	15164000	9
20221029 211829	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	547	1	1	1	0.1	50	0.5	FALSE	668111	0.130491390192256	0.645122561196331	2768	896	0.000170618027236203	13487	17746000	10
20221029 212501	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	491	1	1	1	0.1	50	0.5	FALSE	668111	0.176820169907078	0.903886018844787	5153	490	0.000570943618825	14995	15690000	11
20221029 221843	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3053	1	1	1	0.1	50	0.5	FALSE	668111	0.00669795171808801	0.551044213841669	3923	1892	0.0128433945565814	13651	19098000	12
20221029 222427	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	285	1	1	1	0.1	50	0.5	FALSE	668111	0.146797646369596	0.372316387610044	6856	93	0.011168640104208	13912	17456000	13
20221029 222848	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	240	1	1	1	0.1	50	0.5	FALSE	668111	0.279003446315182	0.220103425940033	407	631	9.01860897865746e-07	12509	15782000	14
20221029 223428	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	452	1	1	1	0.1	50	0.5	FALSE	668111	0.223668914876034	0.850124386849348	7177	1695	0.00136632047905176	14228	15944000	15
20221029 224736	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	905	1	1	1	0.1	50	0.5	FALSE	668111	0.0403281629936828	0.664933521358762	788	391	0.000231462018947866	14712	18336000	16
20221029 230139	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	991	1	1	1	0.1	50	0.5	FALSE	668111	0.0371746804646664	0.349912416241758	7991	1670	0.0128432381198453	14532	18616000	17
20221029 231511	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	958	1	1	1	0.1	50	0.5	FALSE	668111	0.0867782638878662	0.379846708707139	7089	1686	0.00297568017474361	14443	17034000	18
20221029 234415	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2504	1	1	1	0.1	50	0.5	FALSE	668111	0.0725445029248691	0.342775191507733	7949	1103	0.000453227016193026	14049	16862000	19
20221029 235749	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1008	1	1	1	0.1	50	0.5	FALSE	668111	0.0224994585026393	0.871105257262476	3547	2010	0.0103594214244204	13102	19876000	20
20221030 000648	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	462	1	1	1	0.1	50	0.5	FALSE	668111	0.185547254170487	0.415499710212462	2459	1231	6.115689980196e-05	12381	18038000	21
20221030 001224	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	403	1	1	1	0.1	50	0.5	FALSE	668111	0.140516938761836	0.62100894321166	6703	941	0.00576870597944243	13465	18030000	22
20221030 001737	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	392	1	1	1	0.1	50	0.5	FALSE	668111	0.133537495414914	0.812219832489267	7916	1683	0.00794094954831717	14717	16646000	23
20221030 002308	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	396	1	1	1	0.1	50	0.5	FALSE	668111	0.233215398651466	0.854815989599749	5773	822	0.000614208255638539	15557	15206000	24
20221030 003013	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	478	1	1	1	0.1	50	0.5	FALSE	668111	0.0910818052222789	0.772256545981578	4582	1879	0.00576015843528376	11825	19870000	25
20221030 003616	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	389	1	1	1	0.1	50	0.5	FALSE	668111	0.212723044474152	0.739844568829425	3559	1753	0.000212165271731691	13956	17048000	26
