fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 145345	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2682	1	1	1	0.1	50	0.5	FALSE	668111	0.0157476677269733	0.228809292803635	0.557251500457642	10.4871373042843	0.000473440924702453	14710	17540000	1
20221030 145505	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	672	1	1	1	0.1	50	0.5	FALSE	668111	0.274074197723094	0.5861423876544	0.715854196361033	5.53880537881923	0.02688983262625	16131	15498000	2
20221030 145540	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	444	1	1	1	0.1	50	0.5	FALSE	668111	0.187191845039051	0.623657946195453	0.933406605172058	3.76763537270017	0.146635148408161	17819	15002000	3
20221030 145750	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1089	1	1	1	0.1	50	0.5	FALSE	668111	0.076796604849078	0.482930138337542	0.340572665019863	8.14161004508787	0.00727022758123975	16280	1.6e+07	4
20221030 145826	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	643	1	1	1	0.1	50	0.5	FALSE	668111	0.212579222455679	0.688129439079785	0.196447812591214	4.51678915566299	0.166320683775963	16452	16216000	5
20221030 145951	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	931	1	1	1	0.1	50	0.5	FALSE	668111	0.158004235156259	0.360479364191997	0.494512815761846	6.28324687844724	0.0258385089361454	18366	13828000	6
20221030 150037	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	248	1	1	1	0.1	50	0.5	FALSE	668111	0.256517818860739	0.740431735623861	0.239372466871282	9.58493466989603	0.000839812650605915	15084	16872000	7
20221030 150203	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	961	1	1	1	0.1	50	0.5	FALSE	668111	0.0877383977736463	0.414022649303661	0.811223662598786	3.40436427510576	0.172089558210708	16012	17016000	8
20221030 150339	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1301	1	1	1	0.1	50	0.5	FALSE	668111	0.236116724932945	0.509545693240943	0.435407288659189	1.70615373106557	0.206930337034679	16146	12988000	9
20221030 150426	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	439	1	1	1	0.1	50	0.5	FALSE	668111	0.10131299126675	0.76761234420992	0.116722218532232	9.05130186368478	0.0525638373687218	15932	16296000	10
20221030 150901	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1071	1	1	1	0.1	50	0.5	FALSE	668111	0.0389528800951666	0.57073291586712	0.864467421350128	11.5192488906468	0.000195541532690282	16401	15838000	11
20221030 150933	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	272	1	1	1	0.1	50	0.5	FALSE	668111	0.204419036360196	0.445138913198025	0.976437839190476	1.16569196512864	0.240034446331663	14749	12822000	12
20221030 151047	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	711	1	1	1	0.1	50	0.5	FALSE	668111	0.293273691458453	0.295037440420128	0.637676695437403	7.04882628453197	0.000376752654011309	18039	13922000	13
20221030 151225	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	937	1	1	1	0.1	50	0.5	FALSE	668111	0.122433300094272	0.326772943203105	0.0550946200499311	11.155101753393	0.000428284608502407	14931	17258000	14
20221030 151355	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1441	1	1	1	0.1	50	0.5	FALSE	668111	0.0469320273747144	0.24052647757926	0.380648984704749	2.76136039217818	0.181238027100861	16941	14198000	15
20221030 151624	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	776	1	1	1	0.1	50	0.5	FALSE	668111	0.142965872131608	0.672619410490734	0.655212431486143	7.69248887767026	0.000945315017121834	14570	17900000	16
20221030 151733	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	530	1	1	1	0.1	50	0.5	FALSE	668111	0.299196583900069	0.688755910974249	0.818890213985209	8.02902891520866	0.000111866939317055	17681	12878000	17
20221030 153416	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1268	1	1	1	0.1	50	0.5	FALSE	668111	0.0272028575110692	0.703328942946857	0.471179724906199	11.7897788590551	0.000456431620576696	14103	18594000	18
20221030 153544	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	717	1	1	1	0.1	50	0.5	FALSE	668111	0.187487131218445	0.361624782659346	0.341996654241916	7.57805662734015	0.0040883748990192	18770	12220000	19
20221030 153739	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1061	1	1	1	0.1	50	0.5	FALSE	668111	0.143220041494686	0.515756707408745	0.845957521901792	6.00536117992341	0.0198225255875848	15852	16296000	20
20221030 153937	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	668	1	1	1	0.1	50	0.5	FALSE	668111	0.136358893797712	0.65916487436695	0.989944546638301	10.024287475965	0.000274584690082056	14596	17768000	21
20221030 160131	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2082	1	1	1	0.1	50	0.5	FALSE	668111	0.0155315898826996	0.730384647024729	0.292107849608861	11.9933435821306	0.000485093101197202	14062	18676000	22
20221030 160740	977	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1499	1	1	1	0.1	50	0.5	FALSE	668111	0.0240854890570827	0.799716160692299	0.390808176883074	11.8898610239381	0.000205268611156678	16185	16430000	23
