Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0853561621434083	0.00636147433631357	0.00747768280301466
mcuentas_saldo	0.049934401765154	0.00540871824127562	0.00559878334941211
cproductos	0.0228786353572886	0.00273312703038635	0.00184941000029489
cprestamos_personales_lag1	0.0184061983641785	0.00219886121802039	0.000501320706230279
mcuenta_corriente_avg6	0.0159629371154951	0.00573870888167094	0.00520278211928063
vm_status06_avg6	0.0152677948643485	0.000737284001572632	0.000425490683439144
mpayroll_sobre_edad	0.0141993343266091	0.00254761965733954	0.00114166312091097
ccomisiones_mantenimiento_tend6	0.012499372534772	0.0051927446318267	0.00356822385022728
ctrx_quarter_lag1	0.0119341722456586	0.00595486227060076	0.00796215239306914
ctrx_quarter_normalizado_lag1	0.00914908693236361	0.00399622671752202	0.00587682676631293
mpasivos_margen_avg6	0.0076067626133065	0.0029253476443223	0.00561563446558791
cpayroll_trx	0.00727077727885054	0.00194820736078516	0.000421277904395192
vm_status01_delta1	0.00678787232520085	0.000716785702344974	0.000160085603670173
cliente_edad_lag1	0.00628025755857238	0.00679159477955715	0.00642448804202669
cliente_edad	0.00606249118352849	0.00566471587166024	0.00524490990972015
mcaja_ahorro	0.00566823815270328	0.00592046790166112	0.00806747186916793
Visa_mpagominimo	0.00555490416321062	0.00171213037752564	0.00296579644694215
numero_de_cliente	0.00535195217744924	0.00662436253106438	0.00505112207369836
mpayroll_lag1	0.0052408203068745	0.00183015020352624	0.00125540815509767
mpasivos_margen	0.00515093790445871	0.00498451627607939	0.00661406309900452
mrentabilidad_annual_avg6	0.00503896939938897	0.00543740289249408	0.00486997257480842
Visa_msaldopesos	0.0049141202217134	0.00180649839537137	0.00292788143554659
mcuenta_corriente_lag1	0.00470217908711621	0.00737660457840828	0.00495844093473141
mrentabilidad_annual_lag1	0.004686936890614	0.0042254077332069	0.00443184355423742
mprestamos_personales	0.00461601537085668	0.0103068730720192	0.00173987774515214
ccomisiones_otras_tend6	0.00449557975418649	0.00431238956511205	0.00463405694834712
ctransferencias_recibidas_avg6	0.00416092025408228	0.00258889280182695	0.00368196888441398
mactivos_margen	0.0041126941768746	0.00501037652288484	0.00461720583217131
mrentabilidad_avg6	0.00407986858104228	0.00309838244748129	0.00421277904395192
mcuentas_saldo_avg6	0.00400156714913558	0.0041105703969788	0.00599899735858754
Visa_msaldototal	0.00397271629637597	0.00191878934682086	0.00270881692526109
mcuenta_corriente_tend6	0.0039466599283095	0.00712721703675162	0.00431809852005072
ccomisiones_otras_avg6	0.00391795453228593	0.00455760288264668	0.00527439936302781
cliente_edad_avg6	0.00390576556385657	0.00965969002722519	0.00748610836110257
mrentabilidad_annual_delta1	0.00387241337561151	0.0051275858676191	0.00520278211928063
mrentabilidad_annual_tend6	0.00375743815775684	0.00614649197001342	0.00650874362290572
mcuenta_corriente	0.00375673345473431	0.00572893644240195	0.0041538001373366
Master_mfinanciacion_limite_tend6	0.00375443282275657	0.00269298070045954	0.00399792731271038
mrentabilidad_lag1	0.00367481217183476	0.0026752508087574	0.0045919291579076
ctrx_quarter_normalizado_tend6	0.00365867639933465	0.00208801095842191	0.00327332931715065
mcomisiones_avg6	0.00360815172422171	0.00371876213999627	0.00491210036524794
mcuenta_corriente_delta1	0.0035496469171124	0.00576882783913044	0.00494158981855561
Visa_fechaalta	0.00354769390695184	0.00285628432521401	0.0039515867432269
Visa_Fvencimiento_lag1	0.00353675758613028	0.00381959141273741	0.00426333239247935
ctrx_quarter_normalizado_delta1	0.00350797375365439	0.002231168474899	0.00306269036495305
ccomisiones_mantenimiento_avg6	0.00346014059760556	0.0034559427133529	0.00254873132159091
Visa_mfinanciacion_limite	0.00339425070224596	0.0021769978718599	0.00302898813260143
mcaja_ahorro_tend6	0.00338469789893516	0.00264203679526202	0.00436443908953419
cliente_antiguedad	0.00337531256082192	0.00483847295509336	0.00507639874796207
ctrx_quarter_tend6	0.00335874682314543	0.00292051717597491	0.00478571699392939
Master_status_tend6	0.00333997799258129	0.000560594173502833	0.000324383986384298
vm_fechaalta	0.00332802271614189	0.00205510738381157	0.00329018043332645
mprestamos_personales_lag1	0.00332331090185254	0.00332415649464294	0.00113323756282307
mpasivos_margen_lag1	0.00331982383350009	0.0037304158782047	0.00511852653840159
mcomisiones_mantenimiento_tend6	0.0032887640424482	0.0058320085378474	0.0043728646476221
cliente_antiguedad_lag1	0.00328025159115704	0.0025091488132306	0.00389682061565553
mcomisiones_tend6	0.00327086488140389	0.00382449605240069	0.00532073993251128
mactivos_margen_avg6	0.00325442296347372	0.00397616656937895	0.00396001230131481
mprestamos_personales_tend6	0.00323264323799635	0.00603833005221536	0.00112902478377912
cproductos_avg6	0.00322499196075569	0.00284751688271528	0.00381677781382044
cliente_antiguedad_avg6	0.00321680869484694	0.00408843689039621	0.00446554578658904
Master_Fvencimiento	0.00316897780304509	0.0034753588972898	0.00425069405534749
mcuentas_saldo_delta1	0.00316547493662478	0.00322037608769079	0.00357243662927123
ctrx_quarter_delta1	0.00314656042367058	0.00223162676521506	0.00345447881604058
chomebanking_transacciones_avg6	0.00310570427018752	0.00378588718087608	0.00580520952256575
Master_Fvencimiento_lag1	0.00302843812978291	0.00433842467939073	0.00443605633328138
mcaja_ahorro_avg6	0.00296536393531292	0.00403231572910945	0.00476465309870963
Master_Fvencimiento_avg6	0.00293564277420178	0.00286256727423083	0.0042591196134354
mcomisiones_otras_avg6	0.00292913245734429	0.00284342468912142	0.00275937027378851
mpayroll	0.00290165583123669	0.00206381539101744	0.000935236947757327
Visa_mpagospesos_tend6	0.00289970311525298	0.00181040245907129	0.00286468974988731
Visa_mlimitecompra_tend6	0.00289640799030387	0.00257671544360038	0.00370303277963374
vm_Fvencimiento_avg6	0.0028887646162586	0.00342978136047698	0.00432231129909467
ctrx_quarter	0.00287979222454234	0.00353235636074574	0.00420014070682007
mpasivos_margen_tend6	0.00287381506079563	0.00346324490396224	0.00386311838330391
vm_Fvencimiento	0.00285468479031426	0.00230346929826574	0.00380413947668859
mcuentas_saldo_tend6	0.00282927342825346	0.0038205914975	0.00456243970459993
Visa_fechaalta_avg6	0.00281323124115365	0.00272741927746825	0.00356401107118333
mrentabilidad_annual	0.00277385513923491	0.00559924666856759	0.00487839813289633
mactivos_margen_lag1	0.00274672552044742	0.00376641696485476	0.00421277904395192
Visa_cconsumos_tend6	0.00273902867315284	0.000873890864614627	0.00234651792748122
Master_fechaalta	0.0027389598690602	0.00200101488169451	0.00363141553588656
mpasivos_margen_delta1	0.00268475381833961	0.00214361390289897	0.00364405387301841
chomebanking_transacciones_tend6	0.00264234768622591	0.00221959529361643	0.00386733116234787
mrentabilidad_tend6	0.00261446975795617	0.00582185099717671	0.00477729143584148
mactivos_margen_tend6	0.00260531504625012	0.0036454376542301	0.00305005202782119
Visa_fechaalta_lag1	0.00254255189297287	0.00240988401493388	0.00356401107118333
cpayroll_trx_avg6	0.00247439191290272	0.00170880347472751	0.00156294102530616
mcomisiones_mantenimiento_avg6	0.00246273860744081	0.00284431818331746	0.00341656380464501
Master_fechaalta_lag1	0.00241180642709276	0.00176259290597104	0.00337443601420549
mpayroll_sobre_edad_lag1	0.00238499381098043	0.00152808580036438	0.00153766435104245
Master_fechaalta_avg6	0.002341572443828	0.00229883776622918	0.00358086218735914
Visa_mconsumospesos	0.00232965477982331	0.00106651475438067	0.00281413640135989
ctransferencias_recibidas_tend6	0.00232940652004445	0.00322478756178352	0.00364405387301841
ctrx_quarter_avg6	0.00232630199239012	0.00450413224070124	0.00735129943169611
vm_fechaalta_lag1	0.00231617510586093	0.00206654352008002	0.00287311530797521
mcaja_ahorro_lag1	0.00231314473294615	0.0031053874616263	0.00658036086665291
Master_mfinanciacion_limite_delta1	0.00222385985633277	0.00175774131599065	0.00255294410063487
Master_mfinanciacion_limite_avg6	0.00222315831656707	0.00167738529123803	0.00267090191386552
mcomisiones	0.00221498422233705	0.00154845982579787	0.00298264756311796
Visa_mconsumospesos_tend6	0.00220551204533316	0.00118280997448665	0.00266247635577762
vmr_Master_mlimitecompra	0.00220142439503976	0.00118129412891821	0.00149132378155898
mtransferencias_recibidas	0.00219814728823986	0.00220690266578478	0.00333230822376597
vm_mlimitecompra_tend6	0.00217308368970065	0.00276091867860954	0.0030584775859091
Visa_mfinanciacion_limite_delta1	0.00216008304198914	0.00247986686187889	0.00232545403226146
mactivos_margen_delta1	0.00214807925445685	0.0039855092079764	0.00400214009175433
Master_mlimitecompra_avg6	0.00212616147694576	0.00211204344717158	0.00249396519401954
Visa_mpagominimo_avg6	0.0021131047025267	0.00151901233978751	0.00297843478407401
vmr_mpagominimo_tend6	0.00209624071055291	0.000880781920181587	0.00151238767677874
Master_mlimitecompra	0.0020783411240569	0.00156492978753143	0.00232124125321751
mrentabilidad_delta1	0.00204682590917116	0.00234788661886578	0.00379150113955673
mtransferencias_recibidas_delta1	0.00203619694437804	0.00120685965526318	0.00200107004587716
Visa_mlimitecompra_delta1	0.00203458521541923	0.00199588576328049	0.00278885972709617
Master_mlimitecompra_tend6	0.002013860490436	0.00176305021388556	0.00272988082048085
ccomisiones_mantenimiento_delta1	0.00200437902100069	0.00221220075726281	0.000859406924966192
mrentabilidad	0.00199645673367786	0.00298777484106195	0.00401056564984223
ctrx_quarter_normalizado_avg6	0.00197880190523324	0.00437823601039412	0.00649189250672992
mcaja_ahorro_dolares_lag1	0.00197404112984302	0.00167940068798699	0.00193787836021788
mttarjeta_visa_debitos_automaticos_tend6	0.00197007044247157	0.00110682760136766	0.00204741061536063
Master_status_delta1	0.00196997431679102	0.000105869483816241	0.000126383371318558
chomebanking_transacciones_delta1	0.00195939580733572	0.00165113552222396	0.00233387959034937
mcomisiones_otras_delta1	0.00195668173269882	0.00219811704885765	0.00300792423738167
Visa_mconsumospesos_avg6	0.00194915254923313	0.00173380215538681	0.00287311530797521
Visa_Fvencimiento_avg6	0.00194721863255333	0.0019824234238462	0.003066903143997
mcomisiones_otras	0.00191725103707493	0.00180670617329601	0.00274673193665665
mcomisiones_lag1	0.00190019851858015	0.00154988136081895	0.00349239382743615
mtransferencias_recibidas_lag1	0.00188220638036488	0.00156031544752174	0.00304162646973329
Visa_msaldototal_avg6	0.00187663033985055	0.00121156683221793	0.00238864571792074
thomebanking_tend6	0.00187246616973925	0.00325481319109719	0.00227068790469009
cmobile_app_trx_avg6	0.00184888375070092	0.00191837673817618	0.00305005202782119
mtransferencias_emitidas_tend6	0.00183752143880467	0.00113905626612348	0.00195051669734974
vmr_Visa_mlimitecompra	0.00182076707732754	0.00159764326744475	0.00191260168595417
vmr_msaldopesos2_delta1	0.00181726589615324	0.000925809803335601	0.0015418771300864
ccajas_consultas_tend6	0.0017891822164748	0.00787654086033592	0.000745661890779491
Visa_mpagospesos_delta1	0.00178012325173111	0.00138636209892756	0.0028394130756236
mautoservicio	0.00177094823179621	0.0015723675495526	0.00198843170874531
vm_cconsumos_tend6	0.00175019215007391	0.00097268165417073	0.00166826050140496
mcuentas_saldo_lag1	0.00174625308442282	0.00370126900706405	0.00424648127630354
mautoservicio_avg6	0.00174187859319035	0.00240595588239635	0.00323962708479903
vm_msaldototal	0.00174099581433146	0.00151406693046054	0.0028562641917994
vm_status04_avg6	0.00172950752150922	0.000622523783865025	0.000737236332691587
Visa_mpagado_avg6	0.00172689962495665	0.00105726151432291	0.00214009175432758
thomebanking_avg6	0.00167340187338033	0.00315753775590876	0.00269196580908528
Visa_mfinanciacion_limite_avg6	0.0016728304689924	0.00161185321444715	0.00195051669734974
mcomisiones_delta1	0.00166969230554293	0.00238880069559216	0.00300371145833772
ctarjeta_visa_transacciones_avg6	0.00166953523889939	0.00112161667407491	0.00222013455616266
Visa_msaldototal_tend6	0.001665306511493	0.000922678889643691	0.00190838890691022
Visa_Fvencimiento	0.00165432672319472	0.00291556145143182	0.00437707742666605
ccaja_seguridad	0.0016399345254056	0.00208195789136427	0.000101106697054846
Visa_cconsumos_avg6	0.00163376807847646	0.00119347639915245	0.00234651792748122
cliente_edad_tend6	0.00163120223814863	0.00234512950895792	0.00206847451058039
Visa_mfinanciacion_limite_tend6	0.0016256610030841	0.00251018966765689	0.00309217981826071
Visa_mpagado_tend6	0.00162562180890465	0.000673060483626314	0.00191260168595417
mtransferencias_recibidas_avg6	0.00161232906178664	0.00432867532655781	0.00589789066153269
ctarjeta_visa_transacciones	0.00161011385000952	0.00204130120384005	0.00216958120763524
vmr_msaldopesos2_avg6	0.0016025496334722	0.00112428389424232	0.00220749621903081
Visa_msaldopesos_avg6	0.00159734573666051	0.00153728599073926	0.00214009175432758
