fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221115 194700	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	95	1	1	1	0.1	50	0.5	FALSE	668111	0.210334926245414	0.592232355190208	0.415831738799898	9.13067404036701	0.00701948932116013	19365	42230000	1
20221115 195143	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	0.1	50	0.5	FALSE	668111	0.19551353189323	0.3594629004132	0.472242329757864	5.39263963852136	0.0202417280416581	18299	45402000	2
20221115 195829	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	141	1	1	1	0.1	50	0.5	FALSE	668111	0.180053663501167	0.650895683464478	0.982614642354747	9.89600461101509	0.000746136386374372	17319	43602000	3
20221115 200700	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1998	1	1	1	0.1	50	0.5	FALSE	668111	0.0922618062013498	0.715478186527616	0.315400878476066	2.15804829043918	0.0228573089816286	15561	42798000	4
20221115 210827	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4180	1	1	1	0.1	50	0.5	FALSE	668111	0.104262432140167	0.517827772998135	0.934362705778767	1.29306905285921	0.0139136287346665	18777	38286000	5
20221115 211847	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	244	1	1	1	0.1	50	0.5	FALSE	668111	0.141816517987099	0.466693547781324	0.725794120458158	10.1192338085821	0.000268115888837131	16729	45102000	6
20221115 212317	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	335	1	1	1	0.1	50	0.5	FALSE	668111	0.0278294742579601	0.850794641443645	0.0883854958148731	7.69554055733897	0.0160054416059368	19840	42720000	7
20221115 214622	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1774	1	1	1	0.1	50	0.5	FALSE	668111	0.0208814386476297	0.794825898046838	0.682429211232375	7.02414489157673	0.0153879269807287	17174	45012000	8
20221115 215244	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	74	1	1	1	0.1	50	0.5	FALSE	668111	0.299457938266278	0.430279500005417	0.604916220005543	11.901196477731	4.4600733041354e-05	18624	41072000	9
20221115 215532	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	0.1	50	0.5	FALSE	668111	0.158043660061085	0.616784801176982	0.392754253156454	6.37478054508392	0.0191823828314862	18618	44124000	10
20221115 215753	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	61	1	1	1	0.1	50	0.5	FALSE	668111	0.266928200146285	0.691478516848292	0.771222861798014	4.79024809188559	0.0208466734641644	17970	43420000	11
20221115 220819	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	587	1	1	1	0.1	50	0.5	FALSE	668111	0.0765486435146158	0.305325752982753	0.137098429898469	8.22325558116427	0.0187087442750843	17540	45400000	12
20221115 221139	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	456	1	1	1	0.1	50	0.5	FALSE	668111	0.242816664649508	0.886272553360323	0.256917040171538	3.77987263773684	0.018086988499047	19369	42622000	13
20221115 223852	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1573	1	1	1	0.1	50	0.5	FALSE	668111	0.0505949614640849	0.537154330842895	0.548923477923381	2.78337412379915	0.0219680960871797	17505	43310000	14
20221115 225157	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	814	1	1	1	0.1	50	0.5	FALSE	668111	0.246682406753025	0.405482681962894	0.175233814508101	3.5231357418379	0.020530700187322	17586	42348000	15
20221115 230047	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	110	1	1	1	0.1	50	0.5	FALSE	668111	0.124472931858763	0.756841858619009	0.837649832265743	11.2531780792051	0.000873653011696789	18700	42440000	16
20221116 001804	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4117	1	1	1	0.1	50	0.5	FALSE	668111	0.00523173034706747	0.300035504682405	0.693654736439159	7.75585821653258	0.0194214080576748	15998	46964000	17
