fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221115 195231	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	232	1	1	1	0.1	50	0.5	FALSE	668111	0.103862488768864	0.39900558704976	0.284145988263481	9.51306003937498	0.00960523375379868	15107	47306000	1
20221115 195905	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	177	1	1	1	0.1	50	0.5	FALSE	668111	0.2221465529938	0.48089258336986	0.806131856254069	4.44470288093726	0.0203673447014131	15805	46230000	2
20221115 200957	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2750	1	1	1	0.1	50	0.5	FALSE	668111	0.190910900055605	0.645375702349702	0.400776421483897	2.63431988380034	0.0187711989475621	15926	43508000	3
20221115 203817	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1211	1	1	1	0.1	50	0.5	FALSE	668111	0.0485185365325742	0.577403886904358	0.939091085183463	6.42328666777757	0.0151680968039563	15061	47558000	4
20221115 211143	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2280	1	1	1	0.1	50	0.5	FALSE	668111	0.0876588021165662	0.412752288632328	0.208716342509433	1.37327342013305	0.0163930797971715	17670	40260000	5
20221115 211935	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	424	1	1	1	0.1	50	0.5	FALSE	668111	0.118036976275398	0.778073768375907	0.549816744426789	8.24323640782677	0.00241742744215566	17166	45428000	6
20221115 212247	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	60	1	1	1	0.1	50	0.5	FALSE	668111	0.265243739453581	0.812898316964856	0.605435465965275	7.17884284268075	0.0135076145101782	19729	41422000	7
20221115 213716	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	484	1	1	1	0.1	50	0.5	FALSE	668111	0.0387958591493952	0.700724357989384	0.467533030996856	10.7788907629729	0.000680069674847914	17127	45266000	8
20221115 214246	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	84	1	1	1	0.1	50	0.5	FALSE	668111	0.296676279616877	0.559588611871004	0.440153195407038	7.41012485501415	0.0163199638855936	15867	44586000	9
20221115 214958	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1729	1	1	1	0.1	50	0.5	FALSE	668111	0.255368943835856	0.870687765668845	0.661982126437215	1.81313383649103	0.0155572175684838	18701	40518000	10
20221115 221516	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1317	1	1	1	0.1	50	0.5	FALSE	668111	0.0651409052430972	0.326642003728193	0.859006122631399	8.70294225265388	8.99616563423038e-05	16265	46670000	11
20221115 222136	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	236	1	1	1	0.1	50	0.5	FALSE	668111	0.166560456350053	0.372384949080879	0.34138391547167	5.18932807444071	0.0209953467259342	16330	46620000	12
20221115 225009	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7073	1	1	1	0.1	50	0.5	FALSE	668111	0.00596603397381841	0.736774003537721	0.132281448564027	3.30804758284648	0.0168208167850135	18179	41002000	13
20221115 225713	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	124	1	1	1	0.1	50	0.5	FALSE	668111	0.243280722144264	0.860855517789605	0.725011892437033	11.4470479043521	4.99216559001361e-06	17123	42714000	14
20221115 230558	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	294	1	1	1	0.1	50	0.5	FALSE	668111	0.134369793352598	0.506153542594984	0.0778656497968768	10.4194890658546	0.00715573752161978	18000	43600000	15
20221115 230850	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	150	1	1	1	0.1	50	0.5	FALSE	668111	0.176168733304512	0.630834365167539	0.97036144556987	3.9432364954846	0.0212649812984552	16618	45724000	16
20221115 232125	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	545	1	1	1	0.1	50	0.5	FALSE	668111	0.130297594176515	0.370686013310182	0.45216010599896	8.4162682952948	0.00176102074870463	17084	45032000	17
20221115 233116	1223	892086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	311	1	1	1	0.1	50	0.5	FALSE	668111	0.120842478550811	0.306754687822489	0.314779960769184	11.9850454675401	9.80693659511478e-06	15541	47158000	18
