fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221115 202232	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1064	1	1	1	0.1	50	0.5	FALSE	668111	0.0811822430456232	0.453560023661703	0.955780540176056	8.94661328299844	0.0016245241212952	16394	44412000	1
20221115 203713	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	582	1	1	1	0.1	50	0.5	FALSE	668111	0.255653462525661	0.598551213374594	0.577054551128822	5.18376797789824	0.0194536435042423	18946	42508000	2
20221115 225748	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5919	1	1	1	0.1	50	0.5	FALSE	668111	0.00812936700924183	0.405327530149952	0.126973558304599	10.1940847272199	0.0167252976917684	16250	45420000	3
20221115 230347	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	156	1	1	1	0.1	50	0.5	FALSE	668111	0.165072715432616	0.653351050868514	0.474160687880794	7.62604379437107	0.0173911882954022	19056	43408000	4
20221115 232519	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	836	1	1	1	0.1	50	0.5	FALSE	668111	0.180495622000744	0.496291387910605	0.435323828367109	4.6021432580892	0.0229172236036276	17711	44498000	5
20221116 001341	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2221	1	1	1	0.1	50	0.5	FALSE	668111	0.0513140462886804	0.562435397852096	0.23872225125815	4.17090117909538	0.0178331489790951	20429	41782000	6
20221116 003304	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	954	1	1	1	0.1	50	0.5	FALSE	668111	0.210307190762687	0.303482295339927	0.805742966521211	3.12848127898178	0.0225279678686997	17745	43150000	7
20221116 004954	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1133	1	1	1	0.1	50	0.5	FALSE	668111	0.131025737454111	0.821837469848106	0.392532570931508	6.79531818693795	0.0164897494510094	17897	43566000	8
20221116 010433	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2452	1	1	1	0.1	50	0.5	FALSE	668111	0.243763639821191	0.691446281698882	0.640943287762639	1.93851531133987	0.0205155060267403	15546	42028000	9
20221116 011107	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	230	1	1	1	0.1	50	0.5	FALSE	668111	0.27766839633674	0.755141486236244	0.209394769521896	9.91069843774312	0.00537156227169874	18864	40592000	10
20221116 011301	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	76	1	1	1	0.1	50	0.5	FALSE	668111	0.099820318713173	0.848309278656961	0.923459512418776	1.02757035141985	0.0211132189609208	20362	32956000	11
20221116 012845	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	287	1	1	1	0.1	50	0.5	FALSE	668111	0.19703342858782	0.429501501811319	0.73996738724527	11.3181175705395	3.26648953293943e-05	14816	44768000	12
20221116 020313	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1000	1	1	1	0.1	50	0.5	FALSE	668111	0.0284461354273662	0.623593130795052	0.32564203492293	10.8844609299413	0.00592298427426083	16077	46166000	13
20221116 022040	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2923	1	1	1	0.1	50	0.5	FALSE	668111	0.146779658491723	0.740441318842932	0.087346574235562	2.51599812088534	0.0202115197272461	18018	41644000	14
20221116 023821	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	577	1	1	1	0.1	50	0.5	FALSE	668111	0.0654901866491855	0.352740429964615	0.826538762116252	5.90626071106817	0.0260282788757474	15799	47282000	15
20221116 025037	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	418	1	1	1	0.1	50	0.5	FALSE	668111	0.298459658112915	0.875999448850052	0.664959730363626	8.19489746783802	0.00339252542006863	15735	40450000	16
20221116 035502	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2891	1	1	1	0.1	50	0.5	FALSE	668111	0.0118946819517205	0.300534667460938	0.998562465118353	6.49734314003006	0.0221891928425643	17296	45568000	17
20221116 041357	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	429	1	1	1	0.1	50	0.5	FALSE	668111	0.0606052688170215	0.300465579300639	0.526203067327917	11.9957110584096	0.000555864207993047	16214	45492000	18
20221116 042723	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	480	1	1	1	0.1	50	0.5	FALSE	668111	0.110345824235795	0.300197769888548	0.986791668424453	5.98706453898115	0.0205062841078486	18181	44518000	19
20221116 054609	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2596	1	1	1	0.1	50	0.5	FALSE	668111	0.00910831704043908	0.356266179134179	0.713192083245402	7.30326472540628	0.0213673496793263	17318	45604000	20
20221116 060919	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	693	1	1	1	0.1	50	0.5	FALSE	668111	0.0584844568029871	0.300846176931178	0.603417128015452	6.57875137210787	0.0222754474160478	17040	46160000	21
20221116 064630	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	885	1	1	1	0.1	50	0.5	FALSE	668111	0.0457845126167592	0.576885367932161	0.794304697176477	5.97258829492345	0.0248023975376027	16597	45286000	22
20221116 125523	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	719	1	1	1	0.1	50	0.5	FALSE	668111	0.047301832479245	0.300107785657125	0.78932608647297	5.57024762800521	0.0237533484550434	16909	45542000	23
20221116 135840	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	937	1	1	1	0.1	50	0.5	FALSE	668111	0.0116558862794001	0.528745683561038	0.999648847393436	11.9442460018562	0.00580914873103082	16937	45246000	24
20221116 141315	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	447	1	1	1	0.1	50	0.5	FALSE	668111	0.0694695446187377	0.32284942337623	0.998042873535963	6.02803667336368	0.0229684849838565	17384	44832000	25
20221116 153323	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2954	1	1	1	0.1	50	0.5	FALSE	668111	0.00593330219637122	0.383746739844888	0.500290009530019	5.61276300357377	0.0190242752959558	19067	43786000	26
20221116 154231	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	236	1	1	1	0.1	50	0.5	FALSE	668111	0.142753936304448	0.347644674089585	0.979362549878488	3.60208081768552	0.0225160844836461	18097	43646000	27
20221116 160650	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	825	1	1	1	0.1	50	0.5	FALSE	668111	0.0982805382816613	0.393326836973814	0.742866468340348	6.51395341275124	0.0197917163594148	17786	44508000	28
20221116 181845	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2858	1	1	1	0.1	50	0.5	FALSE	668111	0.00517497664151447	0.36900920843636	0.838358563516784	11.8545336851112	0.00375260271221215	15899	45962000	29
20221116 203619	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5302	1	1	1	0.1	50	0.5	FALSE	668111	0.00525098127962118	0.356427583028599	0.842736114335396	6.61286146832704	0.0214126316133481	17588	45064000	30
20221116 210851	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1022	1	1	1	0.1	50	0.5	FALSE	668111	0.0625877051434027	0.39312888878033	0.75884551656142	8.41469365847111	0.00928814948635788	15820	46440000	31
20221116 213912	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	449	1	1	1	0.1	50	0.5	FALSE	668111	0.0251394849335028	0.460735239950794	0.693234338319717	11.9998023192464	0.00542016697948372	16817	45246000	32
20221116 225156	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2314	1	1	1	0.1	50	0.5	FALSE	668111	0.00960539290545025	0.661466541800805	0.240848990672771	11.9979280845488	0.00382584179525133	15842	46316000	33
20221116 235514	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1266	1	1	1	0.1	50	0.5	FALSE	668111	0.0157821303319091	0.678453807233471	0.608451488058708	11.976223342408	0.000877508178404959	15835	45690000	34
20221117 012501	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2947	1	1	1	0.1	50	0.5	FALSE	668111	0.00950436237794244	0.300053339512101	0.425394691087831	11.1602078401027	0.00276664240652857	17343	45714000	35
20221117 021021	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2286	1	1	1	0.1	50	0.5	FALSE	668111	0.0667718512383634	0.347643512604189	0.749715846997003	2.39029034533526	0.0218593165130987	18422	41716000	36
20221117 023722	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	886	1	1	1	0.1	50	0.5	FALSE	668111	0.0690978141175489	0.357031530660842	0.489741228357243	8.91766533237036	0.00941337315610282	16191	45938000	37
20221117 025657	589	2855205	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	874	1	1	1	0.1	50	0.5	FALSE	668111	0.0646429113139229	0.894470037682331	0.155273424602498	11.5886773371575	0.0016888215377702	17491	43258000	38
