fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221111 150915	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	471	1	1	1	0.1	50	0.5	FALSE	936659	0.130369352588095	0.70452798337501	0.909865394095686	3.26284252030018	0.0225303464843159	13581	18278000	1
20221111 151604	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	104	1	1	1	0.1	50	0.5	FALSE	936659	0.103160445943286	0.587374162569176	0.477918063094694	7.99998948529537	0.0168742992904597	14353	17134000	2
20221111 152053	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	60	1	1	1	0.1	50	0.5	FALSE	936659	0.25414553519091	0.393010124552529	0.746926373045426	6.85566586026107	0.0208243386650156	12845	18150000	3
20221111 153345	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	512	1	1	1	0.1	50	0.5	FALSE	936659	0.0967263667107181	0.72290672750969	0.330801003129454	10.0674249582808	0.000254624788782129	13747	16586000	4
20221111 153923	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	0.1	50	0.5	FALSE	936659	0.220829749543918	0.509840812601033	0.0512209785629238	8.64884382679884	0.0165272524388449	13433	17134000	5
20221111 160247	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1387	1	1	1	0.1	50	0.5	FALSE	936659	0.155814742780494	0.476216594726429	0.387217316996248	1.70154603368428	0.0149052450969693	17163	8954000	6
20221111 160636	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	1	0.1	50	0.5	FALSE	936659	0.27998965056533	0.757720988124493	0.122276587103988	11.8391191011033	0.00523564316698611	17112	10096000	7
20221111 161214	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	354	1	1	1	0.1	50	0.5	FALSE	936659	0.135084269831714	0.630045449789031	0.679934979654354	5.62133688488393	0.0167295431263698	14365	18550000	8
20221111 161905	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1331	1	1	1	0.1	50	0.5	FALSE	936659	0.172629086550951	0.871251962083625	0.838291485786613	1.62546256686619	0.0125355633383829	19019	7562000	9
20221111 164739	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2558	1	1	1	0.1	50	0.5	FALSE	936659	0.0097894269637618	0.659555770616862	0.42025762475896	6.33255436684703	0.0182645084197229	14070	18420000	10
20221111 170659	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1078	1	1	1	0.1	50	0.5	FALSE	936659	0.0308863860239217	0.317575198668055	0.950672350326204	4.43376906099729	0.0173990195235723	15184	17232000	11
20221111 171456	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1222	1	1	1	0.1	50	0.5	FALSE	936659	0.201043260683582	0.798678586614551	0.203526507113565	4.59466922156571	0.0144532945168187	16405	15910000	12
20221111 172440	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	186	1	1	1	0.1	50	0.5	FALSE	936659	0.236849500642929	0.533059289638186	0.547612013493927	10.8586725928908	3.84507071477474e-06	14623	14434000	13
20221111 173702	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	542	1	1	1	0.1	50	0.5	FALSE	936659	0.0698776372503198	0.353519686430809	0.241145222367777	7.4484539921832	0.0152098574788436	14539	17802000	14
20221111 175930	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1220	1	1	1	0.1	50	0.5	FALSE	936659	0.298213171025127	0.424539961223491	0.585913106198132	2.47211004448764	0.0168141440396392	17540	11640000	15
20221111 180838	1223	942525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	155	1	1	1	0.1	50	0.5	FALSE	936659	0.0446565929392818	0.856863972815336	0.814641042748553	9.59679237937962	0.0134535645838037	15468	16504000	16
