fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana		min_data_in_leaf	num_leaves		min_data_in_leaf	num_leaves
20221113 095738	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	156	1	1	1	0.1	50	0.5	FALSE	936659	0.143460503	0.858246609	0.973534698	6.239785823	0.020368781	13438	19844000	103		24744	74		24744	74
20221112 143250	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1860	1	1	1	0.1	50	0.5	FALSE	936659	0.038082978	0.58488831	0.373398723	5.308227469	0.022442604	13178	19644000	46					47195	15
20221112 160519	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1153	1	1	1	0.1	50	0.5	FALSE	936659	0.024954387	0.675134421	0.054253162	8.694663634	0.023014129	12083	19594000	51					4513	22
20221113 015827	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1949	1	1	1	0.1	50	0.5	FALSE	936659	0.017030633	0.629103221	0.770863793	5.840068816	0.019870484	13361	19358000	84					32643	44
20221113 100447	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	131	1	1	1	0.1	50	0.5	FALSE	936659	0.191295896	0.835564069	0.999663133	6.139350743	0.020818237	13246	19348000	105					26528	70
20221112 205319	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2205	1	1	1	0.1	50	0.5	FALSE	936659	0.025679012	0.593563619	0.37993264	5.787928274	0.021105463	12852	19336000	61						
20221113 042123	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1800	1	1	1	0.1	50	0.5	FALSE	936659	0.006118597	0.366809126	0.769064434	9.020692219	0.016715828	12871	19218000	87						
20221112 153247	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1105	1	1	1	0.1	50	0.5	FALSE	936659	0.064245587	0.593289636	0.452326262	5.438961108	0.020091905	13356	19208000	48						
20221113 025034	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6370	1	1	1	0.1	50	0.5	FALSE	936659	0.005140497	0.664601191	0.528164776	5.816781726	0.019677465	13669	19142000	85						
20221113 095400	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	391	1	1	1	0.1	50	0.5	FALSE	936659	0.162836332	0.574106284	0.382648415	5.191156948	0.023396992	12837	19126000	102						
20221112 170056	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1898	1	1	1	0.1	50	0.5	FALSE	936659	0.011548636	0.593922627	0.050138489	8.654029682	0.023900741	12061	19078000	55						
20221112 211522	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	707	1	1	1	0.1	50	0.5	FALSE	936659	0.065366382	0.610708667	0.37333144	5.077815528	0.020642377	13349	19062000	64						
20221113 092921	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	124	1	1	1	0.1	50	0.5	FALSE	936659	0.151397325	0.636832449	0.818515309	6.038839326	0.020725534	12992	19056000	99						
20221112 195716	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1227	1	1	1	0.1	50	0.5	FALSE	936659	0.036972703	0.64447451	0.050783139	9.246432983	0.018976992	12782	18996000	59						
20221112 114533	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1703	1	1	1	0.1	50	0.5	FALSE	936659	0.005300445	0.412525018	0.867893293	9.203547003	0.018175973	12902	18996000	37						
20221113 053715	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6203	1	1	1	0.1	50	0.5	FALSE	936659	0.006044731	0.677808887	0.885678477	6.017603635	0.019372807	13241	18958000	90						
20221112 203316	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1444	1	1	1	0.1	50	0.5	FALSE	936659	0.005150068	0.844465672	0.898169745	9.182942394	0.019838876	12655	18930000	60						
20221112 081936	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	165	1	1	1	0.1	50	0.5	FALSE	936659	0.057329856	0.684295392	0.905793068	9.018744306	0.016786504	12944	18912000	25						
20221112 164735	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2936	1	1	1	0.1	50	0.5	FALSE	936659	0.005037847	0.666064603	0.199376946	8.815103902	0.019370624	13137	18846000	54						
20221112 091558	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	724	1	1	1	0.1	50	0.5	FALSE	936659	0.041588673	0.548336973	0.887097331	5.491006047	0.019775503	13947	18826000	31						
20221112 024911	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1226	1	1	1	0.1	50	0.5	FALSE	936659	0.008553655	0.765380372	0.795882961	8.748971384	0.017138645	12811	18778000	8						
20221113 082456	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	236	1	1	1	0.1	50	0.5	FALSE	936659	0.137845896	0.618993401	0.637580304	5.798548902	0.019149278	13499	18762000	95						
20221112 082155	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	76	1	1	1	0.1	50	0.5	FALSE	936659	0.224911288	0.588706515	0.786762343	5.387292123	0.021133469	13781	18758000	26						
20221113 002059	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	301	1	1	1	0.1	50	0.5	FALSE	936659	0.096012169	0.879042038	0.80975114	6.05690431	0.018565825	14273	18734000	78						
20221112 043852	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1051	1	1	1	0.1	50	0.5	FALSE	936659	0.007741394	0.774138619	0.988341477	9.207332617	0.018645341	12681	18718000	18						
20221112 085345	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2153	1	1	1	0.1	50	0.5	FALSE	936659	0.013430496	0.614047274	0.997615329	5.284339264	0.019559406	14299	18682000	28						
