numero_de_cliente	foto_mes	active_quarter	cliente_vip	internet	cliente_edad	cliente_antiguedad	mrentabilidad	mrentabilidad_annual	mcomisiones	mactivos_margen	mpasivos_margen	cproductos	tcuentas	ccuenta_corriente	mcuenta_corriente_adicional	mcuenta_corriente	ccaja_ahorro	mcaja_ahorro	mcaja_ahorro_adicional	mcaja_ahorro_dolares	cdescubierto_preacordado	mcuentas_saldo	ctarjeta_debito	ctarjeta_debito_transacciones	mautoservicio	ctarjeta_visa	ctarjeta_visa_transacciones	mtarjeta_visa_consumo	ctarjeta_master	ctarjeta_master_transacciones	mtarjeta_master_consumo	cprestamos_personales	mprestamos_personales	cprestamos_prendarios	mprestamos_prendarios	cprestamos_hipotecarios	mprestamos_hipotecarios	cplazo_fijo	mplazo_fijo_dolares	mplazo_fijo_pesos	cinversion1	minversion1_pesos	minversion1_dolares	cinversion2	minversion2	cseguro_vida	cseguro_auto	cseguro_vivienda	cseguro_accidentes_personales	ccaja_seguridad	cpayroll_trx	mpayroll	mpayroll2	cpayroll2_trx	ccuenta_debitos_automaticos	mcuenta_debitos_automaticos	ctarjeta_visa_debitos_automaticos	mttarjeta_visa_debitos_automaticos	ctarjeta_master_debitos_automaticos	mttarjeta_master_debitos_automaticos	cpagodeservicios	mpagodeservicios	cpagomiscuentas	mpagomiscuentas	ccajeros_propios_descuentos	mcajeros_propios_descuentos	ctarjeta_visa_descuentos	mtarjeta_visa_descuentos	ctarjeta_master_descuentos	mtarjeta_master_descuentos	ccomisiones_mantenimiento	mcomisiones_mantenimiento	ccomisiones_otras	mcomisiones_otras	cforex	cforex_buy	mforex_buy	cforex_sell	mforex_sell	ctransferencias_recibidas	mtransferencias_recibidas	ctransferencias_emitidas	mtransferencias_emitidas	cextraccion_autoservicio	mextraccion_autoservicio	ccheques_depositados	mcheques_depositados	ccheques_emitidos	mcheques_emitidos	ccheques_depositados_rechazados	mcheques_depositados_rechazados	ccheques_emitidos_rechazados	mcheques_emitidos_rechazados	tcallcenter	ccallcenter_transacciones	thomebanking	chomebanking_transacciones	ccajas_transacciones	ccajas_consultas	ccajas_depositos	ccajas_extracciones	ccajas_otras	catm_trx	matm	catm_trx_other	matm_other	ctrx_quarter	tmobile_app	cmobile_app_trx	Master_delinquency	Master_status	Master_mfinanciacion_limite	Master_Fvencimiento	Master_Finiciomora	Master_msaldototal	Master_msaldopesos	Master_msaldodolares	Master_mconsumospesos	Master_mconsumosdolares	Master_mlimitecompra	Master_madelantopesos	Master_madelantodolares	Master_fultimo_cierre	Master_mpagado	Master_mpagospesos	Master_mpagosdolares	Master_fechaalta	Master_mconsumototal	Master_cconsumos	Master_cadelantosefectivo	Master_mpagominimo	Visa_delinquency	Visa_status	Visa_mfinanciacion_limite	Visa_Fvencimiento	Visa_Finiciomora	Visa_msaldototal	Visa_msaldopesos	Visa_msaldodolares	Visa_mconsumospesos	Visa_mconsumosdolares	Visa_mlimitecompra	Visa_madelantopesos	Visa_madelantodolares	Visa_fultimo_cierre	Visa_mpagado	Visa_mpagospesos	Visa_mpagosdolares	Visa_fechaalta	Visa_mconsumototal	Visa_cconsumos	Visa_cadelantosefectivo	Visa_mpagominimo	clase_ternaria	pos	cluster2
31118490	202011	1	0	0	61	276	1808.23	36847.17	1734.74	-5.2	67.85	8	1	1	0	0	2	12467.59	0	123.97	1	2212.72	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	113781	0	1	46552.07	0	0	0	0	0	0	0	0	1	3519	0	0	0	0	3	312.01	0	0	0	0	0	0	0	0	0	0	0	0	1	1928.17	10	1757.52	1	1	1.75	0	0	1	3519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	0	1	0	0	709430.4	-1125		0	0	0			788256			12	0			3991				0																							BAJA+2	1	2
31127916	202012	1	0	0	42	276	2009.25	30724.38	2395.93	18.58	-348.23	7	1	1	0	-858.5	2	19.2	0	5672.4	1	2566.92	2	0	0	1	2	3002.88	1	2	2209.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3002.88	0	0	0	0	0	0	0	0	0	0	1	1436.04	1	2626.15	6	2395.93	0	0	0	0	0	1	2346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	45	0	0	0	0	3358200.28	-788		958.14	665.78	292.35	-1143.67	3.5	3731333.64	0	0	8	0	-472.26	3.5	5072	-1143.67	2	0	211.14	0	0	3358200.28	-1884		2940.09	3448.72	0	3002.88	0	3731333.64	0	0	8	0	-4201.94	0	5072	3002.88	2	0	563.04	BAJA+2	1	3
31162765	202104	1	0	1	63	323	4027.07	43832.13	3147.42	718.61	31.3	5	1	1	0	-28389.57	2	0	0	0	1	-32669.02	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3413.33	4	3147.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0																																													BAJA+2	1	4
31194674	202103	1	0	2	64	316	4120.65	40495.9	344.01	3061.84	157.8	8	1	1	0	-5550.88	2	0	0	60.42	1	-7173.28	2	0	0	1	8	10781.85	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	223.51	7	7343.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	344.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	80	0	1	0	0	50673.6	-882		0	0	0			56304			1	0			4257				0	1	0	126684	-1521	24	146890.74	172302.83	0	10781.85	0	140760	0	0	7	0	-7005.82	0	8351	10781.85	8	0	52831.92	BAJA+2	1	7
31223039	202104	1	0	0	60	323	2145.76	20694.35	1774.37	244.45	72.17	4	1	1	0	-1882.27	4	5698.55	0	0	1	14749.53	2	5	19961.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1774.04	6	1774.37	0	0	0	0	0	1	3519	2	9149.4	7	73899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	73899	0	0	55	0	1																																													BAJA+2	1	2
31229316	202103	1	0	0	63	278	383.6	7623.06	71.2	174.71	91.62	6	1	1	0	-1813.21	2	1765.42	0	0	1	-2597.16	1	1	202.92	1	2	6402.21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1020.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	71.2	0	0	0	0	0	1	938.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	45	0	0	0	0	0	0	0	0	0	23	0	0	0	0	63342	-1551		0	0	0			70380			1	0			1372				0	0	0	126684	-517		7428.14	8713.2	0	6402.21	0	140760	0	0	1	0	-8726.68	0	3520	6402.21	2	0	2557.14	BAJA+2	1	7
31233580	202008	1	0	1	60	271	1841.64	16145.77	1793.17	38.89	2.43	7	1	1	0	-1297.63	2	160.38	0	0	1	-3091.35	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1361.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1928.17	4	1793.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	21	0	0	0	0	999959.04	-455		0	0	0			1111065.6			12	0			5030				0	0	0	999959.04	-606		0	0	0			1111065.6			5	0			7077				0	BAJA+2	1	1
31240528	202008	1	0	1	59	260	2249.5	26292.56	1672.63	141.1	350.69	8	1	1	0	-6007.58	3	0	20371.83	0.86	1	20110.94	1	3	6457.29	1	2	2465.76	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4357.08	2	2465.76	0	0	0	0	9	16634.26	0	0	0	0	0	0	1	1364.94	10	1672.63	0	0	0	0	0	0	0	0	0	2	41055	0	0	0	0	0	0	0	0	1	4	1	53	1	1	0	0	0	2	41055	0	0	62	1	40	0	0	101347.2	-90		0	0	0			112608			5	0			2113				0	0	0	88678.8	-1185		1541.23	1807.86	0	2465.76	0	98532	0	0	5	0	-1457.67	0	2113	2465.76	2	0	0	BAJA+2	1	3
31244752	202009	0	0	0	68	21	2485.37	16749.18	1730.53	643.5	0.01	7	1	1	0	-21179.93	2	0	0	0	1	-23701.72	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1928.17	2	1730.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202694.4	-1217		0	0	0			225216			0	0			637				0	0	0	202694.4	-1583		0	0	0	0	0	225216	0	0	0	0	0	0	637	0	0	0	0	BAJA+2	1	3
31246558	202009	1	0	1	60	316	1360.9	4528.49	1268.38	17.24	61.63	7	1	1	0	-209.89	3	2561.02	649.05	28846.81	1	22559.46	1	3	2114.03	1	6	4406.28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2565.11	4	2240.37	0	0	0	0	0	0	0	0	0	0	0	0	1	1364.94	10	1268.38	1	0	0	1	234.6	4	28386.6	1	11730	1	4692	0	0	0	0	0	0	0	0	1	2	1	10	1	0	0	1	0	0	0	1	4692	72	1	49	0	0	50673.6	-303		-0.12	-0.12	0			56304			0	0			2996				0	0	0	88678.8	-1795		3756.42	4406.28	0	2827.03	0	98532	0	0	0	0	-4016.3	0	3325	2827.03	5	0	175.95	BAJA+2	1	7
